title,author,genres,publisher,publishDate,firstPublishDate
The Metamorphosis,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)","['Classics', 'Fiction', 'Fantasy', 'Literature', 'Short Stories', 'Philosophy', 'School', 'German Literature', 'Horror', 'Novels']",Bantam Classics,03/01/1972,10/28/15
Looking for Alaska,John Green (Goodreads Author),"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']",Speak,12/28/06,03/03/2005
The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves (Translator)","['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain', 'Spanish Literature', 'Gothic', 'Magical Realism']",Penguin Books,10/28/05,05/28/01
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Novels', 'Classics', 'Psychology', 'Literature', 'Realistic Fiction', 'Adult Fiction']",Vintage,05/18/04,07/31/03
The Very Hungry Caterpillar,Eric Carle,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting', 'Storytime', 'Kids', 'Mathematics']",Puffin Books,10/28/94,06/03/1969
Tuesdays with Morrie,Mitch Albom (Goodreads Author),"['Nonfiction', 'Memoir', 'Biography', 'Inspirational', 'Classics', 'Philosophy', 'Self Help', 'Contemporary', 'Adult', 'Biography Memoir']",Warner,10/28/00,10/28/97
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim (Translator)","['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Czech Literature', 'Romance', 'Contemporary', 'Literary Fiction', '20th Century']",Harper Perennial,10/27/09,10/28/84
The Name of the Rose,"Umberto Eco, William Weaver (Translator)","['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Crime', 'Italian Literature', 'Italy', 'Novels']",Harvest Books,09/28/94,10/28/80
Where the Red Fern Grows,Wilson Rawls,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Historical Fiction', 'Middle Grade', 'School', 'Realistic Fiction', 'Read For School']",Yearling,05/09/2000,10/28/61
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Arthur A. Levine Books / Scholastic Inc.,06/02/1999,07/02/1998
The Godfather,"Mario Puzo, Robert Thompson (Introduction), Peter Bart (Afterword)","['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Drama', 'Novels', 'Literature', 'American']",NAL,03/01/2002,03/10/1969
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym (Introduction)","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Read For School', 'Historical', 'Classic Literature', 'American']",Penguin Books,02/27/03,03/16/50
In Cold Blood,Truman Capote,"['Nonfiction', 'Classics', 'True Crime', 'Crime', 'Mystery', 'History', 'Literature', 'Thriller', 'American', 'Biography']",Vintage,10/28/94,10/28/65
Fight Club,Chuck Palahniuk (Goodreads Author),"['Fiction', 'Contemporary', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Adult', 'Literature', 'American', 'Adult Fiction']",W. W. Norton Company,05/01/2018,10/28/96
The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),"['Fiction', 'Inspirational', 'Contemporary', 'Fantasy', 'Adult', 'Spirituality', 'Classics', 'Adult Fiction', 'Philosophy', 'Novels']",Hyperion,09/23/03,09/01/2003
"Hush, Hush",Becca Fitzpatrick (Goodreads Author),"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Angels', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Urban Fantasy', 'Young Adult Fantasy']",Simon & Schuster BFYR,10/13/09,
The Cat in the Hat,Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Animals', 'Kids', 'Cats']",Random House Books for Young Readers,10/28/85,03/12/1957
American Gods,Neil Gaiman (Goodreads Author),"['Fantasy', 'Fiction', 'Urban Fantasy', 'Mythology', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy', 'Adult', 'Contemporary', 'Novels']",William Morrow,06/21/11,06/19/01
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical', 'Classic Literature', 'Novels', 'Romance']",Penguin Classics,05/27/03,10/28/44
Lonesome Dove,Larry McMurtry,"['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Historical', 'Adventure', 'Novels', 'Literature', 'Audiobook', 'American']",Pocket Books,10/01/1999,10/28/85
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)","['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime', 'Historical', 'German Literature', 'Novels']",Penguin Books,10/28/87,10/28/85
Holes,Louis Sachar (Goodreads Author),"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']",Scholastic,09/02/2000,08/20/98
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Middle Grade', 'Christian', 'Magic', 'Christian Fiction']",HarperCollins Publishers,10/28/05,10/16/50
Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)","['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Superheroes', 'Dystopia']",DC Comics,10/28/05,09/08/1987
It,Stephen King (Goodreads Author),"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Mystery', 'Adult', 'Paranormal', 'Classics', 'Novels']",New English Library,10/01/1987,09/15/86
The Last Olympian,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']",Disney ● Hyperion Books,05/05/2009,
The Little House Collection,"Laura Ingalls Wilder, Garth Williams (Illustrator)","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Juvenile', 'Literature', 'Kids']",Avon Books,10/07/2003,10/28/71
The Divine Comedy,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)","['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Philosophy', 'Fantasy', 'Italian Literature', 'Italy', 'Classic Literature']",Everyman's Library,08/01/1995,10/28/20
Peter Pan,"J.M. Barrie, Michael Hague (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Audiobook', 'Middle Grade', 'Fairy Tales', 'Literature']",Henry Holt and Co.,10/01/2003,10/28/11
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School', 'German Literature', 'World War I', 'Novels']",Ballantine Books,03/12/1987,10/28/29
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Childrens', 'Epic Fantasy', 'Novels']",Houghton Mifflin,08/15/02,09/21/37
The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)","['Plays', 'Classics', 'Humor', 'Fiction', 'Drama', 'Theatre', 'Comedy', 'Poetry', 'Literature', 'Adult']",Applause Books,02/01/1994,
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman (Translator)","['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels', 'Spanish Literature', 'Literary Fiction', 'Historical']",Vintage International,10/05/2003,10/28/85
Shadow Kiss,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']",Razorbill,11/13/08,
Insurgent,Veronica Roth (Goodreads Author),"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",HarperCollins Children's Books,05/01/2012,
The Thorn Birds,Colleen McCullough,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Australia', 'Historical', 'Historical Romance', 'Novels', 'Drama', 'Adult']",Avon Books,10/28/02,04/28/77
A Walk to Remember,Nicholas Sparks (Goodreads Author),"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Young Adult', 'Adult', 'Adult Fiction', 'Drama', 'Contemporary Romance', 'Love']",Grand Central Publishing,05/24/00,10/01/1999
How the Grinch Stole Christmas!,Dr. Seuss,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Holiday', 'Fantasy', 'Humor', 'Kids']",Harper Collins Children's Books,10/04/2004,10/12/1957
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Adventure', 'Novels', 'British Literature']",Del Rey Books,04/28/02,01/17/96
Atonement,Ian McEwan,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'War', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels']",Anchor Books,03/28/03,10/28/01
The Importance of Being Earnest,Oscar Wilde,"['Classics', 'Plays', 'Fiction', 'Drama', 'Humor', 'Literature', 'School', 'Comedy', 'Theatre', 'Romance']",Prestwick House,10/28/05,02/14/95
"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Chick Lit', 'Romance', 'Spirituality', 'Contemporary', 'Biography Memoir', 'Autobiography']",Riverhead Books,02/01/2007,02/16/06
Their Eyes Were Watching God,Zora Neale Hurston,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Novels', 'Feminism', 'Read For School', 'High School']",Amistad,05/30/06,10/28/37
The Three Musketeers,Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical', 'French Literature', 'Classic Literature', 'Novels']",Modern Library,02/13/01,03/28/44
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Audiobook', 'Middle Grade', 'Magic', 'Literature']",Penguin,10/28/95,05/17/00
Frostbite,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']",Razorbill,04/10/2008,04/01/2008
Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",HarperCollins,01/23/07,09/03/1947
The Lorax,Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment', 'Young Adult', 'Kids', 'Juvenile']",Random House Books for Young Readers,02/24/98,10/28/71
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman (Goodreads Author)","['Fantasy', 'Fiction', 'Humor', 'Urban Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Science Fiction', 'Supernatural']",William Morrow,11/28/06,05/01/1990
Blood Promise,Richelle Mead (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']",Razorbill,08/25/09,08/28/09
Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)","['Classics', 'Fiction', 'Romance', 'Literature', 'Historical Fiction', '19th Century', 'Victorian', 'Classic Literature', 'Novels', 'British Literature']",Penguin Classics,01/30/03,10/28/91
The Good Earth,Pearl S. Buck,"['Classics', 'Fiction', 'Historical Fiction', 'China', 'Literature', 'Historical', 'Asia', 'Novels', 'School', 'Classic Literature']",Howard Publishing Co,03/04/2009,03/02/1931
Heart of Darkness,"Joseph Conrad, Aníbal Fernandes (Translator)","['Classics', 'Fiction', 'Literature', 'Africa', 'Historical Fiction', 'School', 'Novels', 'Read For School', 'Adventure', 'High School']",Green Integer,10/01/2003,10/28/99
The Battle of the Labyrinth,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']",Hyperion Books for Children,03/06/2008,
A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)","['Classics', 'Plays', 'Fiction', 'Drama', 'Fantasy', 'School', 'Romance', 'Literature', 'Theatre', 'Poetry']",Simon & Schuster Paperbacks,07/28/16,10/28/95
Clockwork Princess,Cassandra Clare (Goodreads Author),"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy', 'Angels', 'Fiction', 'Historical']",Walker Books Ltd,09/05/2013,03/19/13
The Prophet,Kahlil Gibran,"['Poetry', 'Philosophy', 'Classics', 'Fiction', 'Spirituality', 'Religion', 'Literature', 'Inspirational', 'Self Help', 'Novels']",Rupa & Co,01/01/2010,10/28/23
The Mists of Avalon,Marion Zimmer Bradley,"['Fantasy', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Science Fiction Fantasy', 'Historical', 'Classics', 'Romance', 'Magic']",Ballantine Books,07/15/01,12/28/82
The Titan's Curse,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Magic']",Puffin Books,05/05/2007,01/01/2007
The Sea of Monsters,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",Hyperion Books,04/01/2006,
The Joy Luck Club,Amy Tan (Goodreads Author),"['Fiction', 'Historical Fiction', 'Classics', 'China', 'Contemporary', 'Adult Fiction', 'Adult', 'Literature', 'Asia', 'Novels']",Penguin Group,09/21/06,10/28/89
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature', 'Novels', 'Classic Literature', 'Middle Grade']",Gramercy Books,09/07/2004,10/28/65
The Call of the Wild,"Jack London, Avi (Introduction)","['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature', 'School', 'Childrens', 'Novels']",Scholastic,01/01/2001,10/28/03
Jonathan Livingston Seagull,"Richard Bach (Goodreads Author), Russell Munson (Photographer)","['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help', 'Literature', 'Novels', 'Animals']",Scribner,02/07/2006,10/28/70
Madame Bovary,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)","['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Romance', '19th Century', 'Novels', 'Historical Fiction', 'Classic Literature']",Oxford University Press,10/28/04,10/28/57
The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)","['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Humor', 'Science Fiction Fantasy', 'Juvenile']",Random House Bullseye Books,10/28/96,10/28/61
Bridge to Terabithia,Katherine Paterson,"['Young Adult', 'Fiction', 'Classics', 'Childrens', 'Fantasy', 'Middle Grade', 'Realistic Fiction', 'School', 'Juvenile', 'Contemporary']",HarperCollins,10/06/2009,10/21/77
The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)","['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Action', 'Novels']",Scholastic Press,08/24/10,10/28/08
"Oh, the Places You'll Go!",Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",Random House Books for Young Readers,01/22/90,
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Sweden', 'Adult', 'Audiobook']",Alfred A. Knopf,07/28/09,05/09/2006
The Maze Runner,James Dashner (Goodreads Author),"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Post Apocalyptic', 'Mystery', 'Teen', 'Audiobook']",Delacorte Press,10/06/2009,
The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature', 'Middle Grade', 'Science Fiction Fantasy', 'Books About Books']",Dutton Children's Books,10/28/97,10/28/79
Oliver Twist,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian', 'Historical']",Penguin Books,10/28/03,10/28/39
Ulysses,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)","['Classics', 'Fiction', 'Literature', 'Novels', 'Ireland', 'Irish Literature', 'Unfinished', '20th Century', 'Literary Fiction', 'Banned Books']",Vintage,10/28/90,02/02/2022
Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)","['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Historical Fiction', 'Childrens', 'Literature', 'Pirates', 'Fantasy', 'Novels']",Kingfisher,09/15/01,10/28/79
Fifty Shades of Grey,E.L. James (Goodreads Author),"['Romance', 'Fiction', 'Erotica', 'Adult', 'BDSM', 'Contemporary', 'Chick Lit', 'Contemporary Romance', 'Erotic Romance', 'Adult Fiction']",Vintage,05/25/11,
The Clan of the Cave Bear,Jean M. Auel,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Romance', 'Adventure', 'Prehistoric', 'Adult', 'Novels']",Bantam,10/06/2016,05/04/1980
A Storm of Swords,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",Bantam,03/04/2003,08/08/2000
The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)","['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories', 'Historical Fiction', 'Classic Literature', 'Read For School']",Penguin Books/Penguin Classics,01/30/03,10/28/00
The World According to Garp,John Irving (Goodreads Author),"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Humor', 'American', 'Adult Fiction', 'Drama']",Ballantine Books,04/01/1999,04/24/78
A Farewell to Arms,Ernest Hemingway,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels', 'American', 'Romance', 'Classic Literature', 'School']",Arrow Books,10/28/04,10/28/29
David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Novels', '19th Century', 'British Literature', 'Classic Literature', 'Victorian', 'Audiobook']",Penguin,10/28/04,10/28/50
Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)","['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery', 'Mental Health', 'Teen', 'Audiobook', 'Romance', 'High School']",cbt,03/16/09,10/18/07
